Fecha,Codigo Cliente,Codigo Vendedor,Codigo Producto,Precio Unitario,Cantidad
2022-05-17,67,HC-572,NMDG-75729213,1499.0,2
2022-05-17,89,A0-000,TMSO-73134895,1449.0,1
2022-05-17,29,GE-024,KKDO-35204426,960.0,1
2022-05-17,48,SP-816,KGZF-41559070,1879.0,1
2022-05-17,23,SP-816,FLDO-51570654,1909.0,1
2022-05-17,36,FD-416,RPOT-88588003,999.0,1
2022-05-17,91,SP-816,DUIJ-61975566,1699.0,1
2022-05-17,31,NG-218,MMMT-57212789,1449.0,1
2022-05-17,51,OP-407,PLSS-34003480,1199.0,1
2022-05-17,53,JB-121,OBIE-68708173,960.0,2
2022-05-17,83,GE-024,ZCRR-89034121,1010.0,1
2022-05-17,95,GE-024,AMMG-47101753,1020.0,1
2022-05-17,49,GE-024,ZJCO-07024741,1899.0,3
2022-05-17,93,FD-416,AEDA-04811622,1653.0,1
2022-05-17,1,FD-416,SOIT-78731143,1849.0,1
2022-05-17,22,A0-000,RJJG-93391069,1322.0,1
2022-05-17,86,GE-024,BRDE-58955321,1499.0,1
2022-05-17,40,OP-407,EIJS-29111153,459.0,1
2022-05-17,62,NG-218,BUEF-47679669,1376.55,1
2022-05-17,16,HC-572,HDZF-90571285,1634.0,1
2022-05-17,99,OP-407,OSBO-00980325,1249.0,1
2022-05-17,66,GE-024,BOAO-33507673,2299.0,1
2022-05-17,46,SP-816,LBFP-52113836,1699.0,1
2022-05-17,5,A0-000,PBEB-68809711,629.0,1
2022-05-17,75,A0-000,FUON-77253124,838.0,1
2022-05-17,17,HC-572,IKGM-18461508,1349.0,1
2022-05-17,21,GE-024,HNUO-43341479,1499.0,1
2022-05-17,14,OP-407,LZLA-05880311,1640.0,1
2022-05-17,51,HC-572,JRZA-64280016,1799.0,2
2022-05-17,9,HC-572,BRIB-48660289,1499.0,1
2022-05-17,82,CG-544,NGGG-66485226,580.0,1
2022-05-17,31,SP-816,ELCS-30816412,2203.24,2
2022-05-17,41,GE-024,ZFDJ-86971026,799.0,1
2022-05-17,70,FD-416,GFLT-39722982,1899.0,1
2022-05-17,73,GE-024,LBFP-52113836,1699.0,1
2022-05-17,62,A0-000,GHOL-20050389,1999.0,1
2022-05-17,17,JB-121,RIMB-71050165,1899.0,1
2022-05-17,50,NG-218,TPIF-72567039,559.2,2
2022-05-17,24,JB-121,NMDG-75729213,1499.0,1
2022-05-17,27,HC-572,ALPB-89241828,1099.0,1
2022-05-17,25,JB-121,OTCH-45828677,1349.0,1
2022-05-17,2,SP-816,AIJB-53437649,596.56,1
2022-05-17,84,A0-000,LKUM-10479693,1322.0,1
2022-05-17,34,NG-218,JGJD-63888313,1499.0,1
2022-05-17,45,NG-218,UEZL-89315970,1649.0,2
2022-05-17,67,OP-407,CTJS-37672018,1299.0,3
2022-05-17,4,GE-024,FPGP-17111293,699.0,1
2022-05-17,48,A0-000,ZFDJ-86971026,799.0,1
2022-05-17,70,HC-572,KCBU-77902735,1749.0,2
2022-05-17,80,A0-000,NPMN-52128081,999.0,1
2022-05-17,54,JB-121,JGIS-90728969,589.0,1
2022-05-17,54,NG-218,BRIB-48660289,1499.0,1
2022-05-17,12,HC-572,HIAD-48792587,1049.0,1
2022-05-17,92,NG-218,LMHM-07376215,449.0,1
2022-05-17,53,SP-816,MKRR-52803341,1299.0,1
2022-05-17,14,SP-816,RTLF-30065889,999.0,1
2022-05-17,9,OP-407,GAFN-61481828,1664.0,2
2022-05-17,49,GE-024,SJRB-98011273,450.0,1
2022-05-17,95,OP-407,UCIG-30265115,1699.0,1
2022-05-17,90,JB-121,SAOC-15689732,1649.0,1
2022-05-17,16,SP-816,GSIH-42651841,1399.0,1
2022-05-17,45,OP-407,NBHN-92966234,1640.0,1
2022-05-17,38,NG-218,OBIE-68708173,960.0,1
2022-05-17,67,GE-024,JDPB-87900692,2799.0,2
